of,contrato,empenho,empresa,cnpj,ano,ptres,plano_interno,processo,ted,bem,area,macro_area,intervencao,quantidade,parlamentar,rec_int,pregao,valor_unit,estado,municipio,latitude,longitude,beneficiario,cnpj_bene,contato,telefone,vencimento,responsavel_pela_informacao,entrega_realizada_pelo_fornecedor,processo_pagamento,pagamento,chassi_bt,chassi,serie_bt,serie,placa_bt,placa,ebm,ebm_bt,localizacao,punicao,obs_punicao,doacao,proc_doacao,status_doacao,termo_doacao,data_doacao,detalhe_da_doacao,data_ces,vencimento_do_encago,encargo,encargo_pagamnto,status_vencimento,det_enc,analista_responsavel,localizacao_do_bem,termo_publicado,entrega_fisica,baixa,data_entrega,of_emissao,metodo_doacao,intermedio,evento,item,marca,evento_realizado
7.0307/2019,NULL,2019NE570847,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001809/2019-55,NULL,Sulcador Leve,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2019 - 3ª SR,1950,PI,Socorro do Piauí,-7.86772999999999989,-42.49217899999999304,ASSOCIAÇÃO COMUNITÁRIA DO DESENVOLVIMENTO COMUNITÁRIO RURAL SUSTENTÁVEL DO MUNICÍPIO DE SOCORRO DO PIAUÍ,04.815.280/0001-47,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.139.00/2020,2020-12-02,Doado em 02/12/2020.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-12-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0193/2019,NULL,2019NE570570,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001193/2019-12,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2018 - 3ª SR,78000,PI,Socorro do Piauí,-7.86772999999999989,-42.49217899999999304,ASSOCIAÇÃO COMUNITÁRIA DO DESENVOLVIMENTO COMUNITÁRIO RURAL SUSTENTÁVEL DO MUNICÍPIO DE SOCORRO DO PIAUÍ,04.815.280/0001-47,,,NULL,,Sim,,Pago,Sim,HCCZTT75HJCG83309,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.139.00/2020,2020-12-02,Doado em 02/12/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-06-29,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0287/2019,NULL,2019NE570794,"ARTHA EMPREENDIMENTOS, COMÉRCIO E LOCAÇÕES - EIRELI",28.515.824/0001-13,2019,152069 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,19350003PI2 - Emenda - Átila Lira - PSB/PI,59570.000866/2019-17,NULL,Caminhão carroceria em madeira,"Caminhões, veículos leves de carga e utilitários","Caminhões, veículos leves de carga e utilitários",Máquinas e equipamentos,TRUE,ÁTILA LIRA,Não,09/2019 - 7ª SR,164990,PI,Socorro do Piauí,-7.86772999999999989,-42.49217899999999304,ASSOCIAÇÃO SEMI-ARIDO DE DESENVOLVIMENTO E CONVIVÊNCIA COM A SECA DE SOCORRO DO PIAUÍ,04.910.508/0001-88,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.104.00/2020,2020-12-02,Doado em 02/10/2020. Termo de doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-08-28,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0404/2019,NULL,2019NE571014,ARAÚJO & ARAÚJO - COMÉRCIO DE MÁQUINAS LTDA,07.334.738/0001-34,2019,110375 - 08.244.2012.20GD.0001 - Fortalecimento e Dinamização da Agricultura Familiar - Nacional,020GD108012 - TED CIDADANIA,59570.001679/2019-51,TED 09/2019-MCIDAD,"Trator Agrícola 95 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MINISTÉRIO DA CIDADANIA,Não,04/2019 - 8ª SR,117226.5,CE,São Benedito,NULL,NULL,PREFEITURA MUNICIPAL DE SÃO BENEDITO,NULL,,NULL,0000-00-00,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,OF assinada digitalmente em 10/03/2020. Fornecedora não entregou o bem,Não,NULL,Item Não Fornecido,NULL,0000-00-00,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Leandro,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0399/2019,NULL,2019NE571007,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,110375 - 08.244.2012.20GD.0001 - Fortalecimento e Dinamização da Agricultura Familiar - Nacional,020GD108012 - TED CIDADANIA,59570.001809/2019-55,TED 09/2019-MCIDAD,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,MINISTÉRIO DA CIDADANIA,Não,04/2019 - 3ª SR,9600,CE,São Benedito,NULL,NULL,PREFEITURA MUNICIPAL DE SÃO BENEDITO,NULL,,,NULL,,Sim,,Pago,Não,,Não,,Não,,270.545-5,Sim,NULL,Não,NULL,Sim,,Termo de Doação,0.0247.00/2022,2022-12-06,Doado em 06/12/2022. ,NULL,NULL,Não Isento,Sim,Pago,Em 25/11/2022 comprovada a GRU,,BENEFICIÁRIO,Sim,Sim,Sim,2022-12-06,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0365/2019,NULL,2019NE570941,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152056 - 15.244.2029.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,11680001PI2 - Emenda - Paes Lamdin,59570.001809/2019-55,NULL,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,PAES LANDIM,Não,04/2018 - 3ª SR,9600,PI,São João do Piauí,-8.35466100000000012,-42.25589800000000196,ASSOCIAÇÃO DE DESENVOLVIMENTO DO SUDESTE PIAUIENSE - ADESP,35.428.191/0001-71,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.103.00/2020,2020-10-02,Doado em 02/10/2020. Termo de doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-09-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0364/2019,NULL,2019NE570940,AGROINDUSTRIAL FREITAS LTDA EPP,21.344.856/0001-54,2019,152056 - 15.244.2029.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,11680001PI2 - Emenda - Paes Lamdin,59570.001809/2019-55,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,PAES LANDIM,Não,04/2019 - 3ª SR,7430,PI,São João do Piauí,-8.35466100000000012,-42.25589800000000196,ASSOCIAÇÃO DE DESENVOLVIMENTO DO SUDESTE PIAUIENSE - ADESP,35.428.191/0001-71,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.0053.00/2022,2022-02-22,Doado em 22/02/2022. Termo de doação nº ,NULL,2023-02-21,Não Isento,Não,Vencido,Notificado pelo ofício nº 806/2023. Prazo: 01/07/2023,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-09-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0280/2019,NULL,2019NE570775,"ARTHA EMPREENDIMENTOS, COMÉRCIO E LOCAÇÕES - EIRELI",28.515.824/0001-13,2019,152056 - 15.244.2029.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,11680001PI2 - Emenda - Paes Lamdin,59570.000866/2019-17,NULL,Caminhão carroceria em madeira,"Caminhões, veículos leves de carga e utilitários","Caminhões, veículos leves de carga e utilitários",Máquinas e equipamentos,TRUE,PAES LANDIM,Não,09/2019 - 7ª SR,164990,PI,São João do Piauí,-8.35466100000000012,-42.25589800000000196,ASSOCIAÇÃO DE DESENVOLVIMENTO DO SUDESTE PIAUIENSE - ADESP,35.428.191/0001-71,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.103.00/2020,2020-10-02,Doado em 02/10/2020. Termo de doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-09-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0363/2019,NULL,2019NE570939,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,152056 - 15.244.2029.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,11680001PI2 - Emenda - Paes Lamdin,59570.001809/2019-55,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,PAES LANDIM,Não,04/2019 - 3ª SR,73600,PI,São João do Piauí,-8.35466100000000012,-42.25589800000000196,ASSOCIAÇÃO DE DESENVOLVIMENTO DO SUDESTE PIAUIENSE - ADESP,35.428.191/0001-71,,,NULL,,Sim,,Pago,Sim,CHASSI: HCCZTT75HJKC88675,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.103.00/2020,2020-10-02,Doado em 02/10/2020. Termo de doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-09-02,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0307/2019,NULL,2019NE570847,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001809/2019-55,NULL,Sulcador Leve,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2019 - 3ª SR,1950,PI,São Miguel do Fidalgo,-7.59713299999999947,-42.36759099999999023,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE DE CALDEIRÃO,02.343.575/0001-32,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.141.00/2020,2020-11-13,Doado em 13/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-11-11,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0247/2019,NULL,2019NE570716,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001224/2019-35,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2018 - 3ª SR,13450,PI,São Miguel do Fidalgo,-7.59713299999999947,-42.36759099999999023,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE DE CALDEIRÃO,02.343.575/0001-32,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.141.00/2020,2020-11-13,Doado em 13/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-06-29,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0263/2019,NULL,2019NE570749,COMERCIAL LICITA LTDA,15.513.036/0001-46,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.000866/2019-17,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,09/2019 - 7ª SR,7980,PI,São Miguel do Fidalgo,-7.59713299999999947,-42.36759099999999023,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE DE CALDEIRÃO,02.343.575/0001-32,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.141.00/2020,2020-11-13,Doado em 13/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-11-11,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0307/2019,NULL,2019NE570847,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001809/2019-55,NULL,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2019 - 3ª SR,9600,PI,São Miguel do Fidalgo,-7.59713299999999947,-42.36759099999999023,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE DE CALDEIRÃO,02.343.575/0001-32,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.141.00/2020,2020-11-13,Doado em 13/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-11-11,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0281/2019,NULL,2019NE570776,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001613/2019-61,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2018 - 3ª SR,78000,PI,São Miguel do Fidalgo,-7.59713299999999947,-42.36759099999999023,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DA COMUNIDADE DE CALDEIRÃO,02.343.575/0001-32,,,NULL,,Sim,,Pago,Sim,HCCZTT75JKCJ87954,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.141.00/2020,2020-11-13,Doado em 13/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-06-29,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0341/2019,NULL,2019NE570888,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,157333 - 15.244.2029.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,"MDR-PLN18 - PLN/18 - LEI Nº 13.888, 17/10/2019",59570.000866/2019-17,TED 060/2019 - SRDU,Caminhão compactador 6 m³,Compactadores de resíduos,Compactadores de resíduos,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,09/2019 - 7ª SR,246000,PI,São Miguel do Tapuio,-5.49729099999999882,-41.3164510000000007,PREFEITURA MUNICPAL DE SÃO MIGUEL DO TAPUIO,06.716.906/0001-93,Prefeito Pompílio Evaristo ,98189-1926,NULL,,Sim,,Pago,Não,,Sim,SÉRIE: 8937050,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.127.00/2020,2020-11-13,Doado em 13/10/2020.,NULL,NULL,Isento,Não,NULL,,,BENEFICIÁRIO,Sim,Sim,Sim,2020-11-13,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0223/2019,NULL,2019NE570657,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001224/2019-35,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2018 - 3ª SR,78000,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,ASSOCIAÇÃO DOS PRODUTORES RURAIS DA LOCALIDADE MUCAMBO,08.001.236/0001-54,,,NULL,,Sim,,Pago,Sim,HCCZTT75JKCJ88225,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.138.00/2020,2021-01-27,Doado em 27/01/2021. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-06-29,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0263/2019,NULL,2019NE570749,COMERCIAL LICITA LTDA,15.513.036/0001-46,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.000866/2019-17,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,09/2019 - 7ª SR,7980,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,CENTRO POPULAR EDUCACIONAL E CULTURAL DO SERTÃO PIAUIENSE,10.917.445/0001-94,Eumadeus (89) 98130-7571,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.134.00/2020,2021-02-05,Doado em 05/02/2021.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-02-05,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0307/2019,NULL,2019NE570847,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001809/2019-55,NULL,Sulcador Leve,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2019 - 3ª SR,1950,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,ASSOCIAÇÃO DOS PRODUTORES RURAIS DA LOCALIDADE MUCAMBO,08.001.236/0001-54,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.138.00/2020,2021-01-27,Doado em 27/01/2021,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-01-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0258/2019,NULL,2019NE570743,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.000866/2019-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,09/2019 - 7ª SR,13200,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,ASSOCIAÇÃO DOS PRODUTORES RURAIS DA LOCALIDADE MUCAMBO,08.001.236/0001-54,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.138.00/2020,2021-01-27,Doado em 27/01/2021. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-06-29,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0307/2019,NULL,2019NE570847,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001809/2019-55,NULL,Arado reversível - 03 discos,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2019 - 3ª SR,9600,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,ASSOCIAÇÃO DOS PRODUTORES RURAIS DA LOCALIDADE MUCAMBO,08.001.236/0001-54,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.138.00/2020,2021-01-27,Doado em 27/01/2021.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-01-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0258/2019,NULL,2019NE570743,KOHLER IMPLEMENTOS AGRICOLAS LTDA,92.264.472/0001-70,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.000866/2019-17,NULL,Grade Aradora 14/26,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,09/2019 - 7ª SR,13200,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,CENTRO POPULAR EDUCACIONAL E CULTURAL DO SERTÃO PIAUIENSE,10.917.445/0001-94,Eumadeus ,(89) 98130-7571,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.134.00/2020,2021-02-05,Doado em 05/02/2021,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-02-05,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0208/2019,NULL,2019NE570594,CNH INDUSTRIAL BRASIL LTDA,01.844.555/0023-98,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.001193/2019-12,NULL,"Trator agrícola 75 CV, 4x4",Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,04/2018 - 3ª SR,78000,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,CENTRO POPULAR EDUCACIONAL E CULTURAL DO SERTÃO PIAUIENSE,10.917.445/0001-94,Eumadeus (89) 98130-7571,,NULL,,Sim,,Pago,Sim,TSD8R400630,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.134.00/2020,2021-02-05,Doado em 05/02/2021. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2020-02-26,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0263/2019,NULL,2019NE570749,COMERCIAL LICITA LTDA,15.513.036/0001-46,2019,152161 - 15.244.1025.7k66.0022 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - No Estado do Piauí,37440004PI2 - EMENDA - REJANE DIAS,59570.000866/2019-17,NULL,Carreta Agrícola em madeira 4T,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,REJANE DIAS,Não,09/2019 - 7ª SR,7980,PI,São Raimundo Nonato,-9.01241199999999765,-42.69865899999999215,ASSOCIAÇÃO DOS PRODUTORES RURAIS DA LOCALIDADE MUCAMBO,08.001.236/0001-54,,,NULL,,Sim,,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.138.00/2020,2021-01-27,Doado em 27/01/2021.,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-01-27,Emitida,Direta,NULL,NULL,NULL,,Sim
7.0284/2019,NULL,2019NE570789,COMERCIAL CEDRO EIRELI,10.732.150/0001-43,2019,157333 - 15.244.2029.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional ,"MDR-PLN18 - PLN/18 - LEI Nº 13.888, 17/10/2019",59570.000866/2019-17,TED 060/2019 - SRDU,Plantadeira adubadeira de 01 linha,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,TED 05/2019 MDR,Não,09/2019 - 7ª SR,2500,PI,Teresina,-5.090657,-42.800133,A DEFINIR,NULL,,NULL,0000-00-00,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,OF enviado a empresa para assinatura em 20/01/201. Fornecedora não entregou o bem,Não,NULL,Item Não Fornecido,NULL,0000-00-00,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0343/2019,NULL,2019NE570899,GYN COMÉRCIO DE MÁQUINAS E EQUIPAMENTOS,27.429.627/0001-19,2019,157333 - 15.244.2029.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional,"MDR-PLN18 - PLN/18 - LEI Nº 13.888, 17/10/2019",59570.001809/2019-55,TED 060/2019 - SRDU,Microtrator 14 CV,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,04/2019 - 3ª SR,16799.99,PI,Teresina,-5.090657,-42.800133,ASSOCIAÇÃO DOS PEQUENOS PRODUTORES RURAIS DO POVOADO AVE VERDE - ASPROVERDE,15.081.296/0001-90,Raimundo (presidente) 99403-2372,NULL,0000-00-00,,Não,,NULL,Não,,Não,NULL,Não,NULL,,Não,NULL,Sim,O.F assinada. Fornecedora não entregou o bem,Não,NULL,Item Não Fornecido,NULL,0000-00-00,,0000-00-00,0000-00-00,Isento,NULL,NULL,,Rogério Cardoso,,Não,Não,Não,NULL,Emitida,Direta,NULL,NULL,NULL,,Não
7.0295/2019,NULL,2019NE570819,MOTOBEL MOTORES DE BELEM LTDA,04.978.201/0001-19,2019,157333 - 15.244.2029.7k66.0001 - Apoio a Projetos de Desenvolvimento Sustentável Local Integrado - Nacional ,"MDR-PLN18 - PLN/18 - LEI Nº 13.888, 17/10/2019",59570.000866/2019-17,TED 060/2019 - SRDU,Plantadeira adubadeira de 04 linhas,Mecanização agrícola,Mecanização agrícola,Máquinas e equipamentos,TRUE,FÁBIO ABREU,Não,09/2019 - 7ª SR,15500,PI,Teresina,-5.090657,-42.800133,ASSOCIAÇÃO DOS AGRICULTORES FAMILIARES DO ASSENTAMENTO SANTANA NOSSA ESPERANÇA,09.043.808/0001-20,,,NULL,,Sim,59570.000459/2020-43,Pago,Não,,Não,,Não,,,Não,NULL,Não,NULL,Sim,,Termo de Doação,7.163.00/2020,2020-11-17,Doado em 17/11/2020. Termo de Doação nº ,NULL,NULL,Isento,Não,NULL,,Rogério Cardoso,BENEFICIÁRIO,Sim,Sim,Sim,2021-06-11,Emitida,Direta,NULL,NULL,NULL,,Sim
